City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,273.48,64,0,2.06,Clear
1,Turukhansk,RU,65.8167,87.9833,254.8,98,100,2.9,Clouds
2,Busselton,AU,-33.65,115.3333,289.36,75,0,6.79,Clear
3,Faya,SA,18.3851,42.4509,293.21,52,20,3.09,Clouds
4,Maragogi,BR,-9.0122,-35.2225,301.88,65,72,6.62,Clouds
5,Chumikan,RU,54.7183,135.315,254.77,81,8,7.62,Clear
6,Gornopravdinsk,RU,60.05,69.9,253.25,93,52,2.55,Clouds
7,Atuona,PF,-9.8,-139.0333,298.33,73,11,5.94,Clouds
8,Bandarbeyla,SO,9.4942,50.8122,299.56,66,61,8.59,Clouds
9,Port Alfred,ZA,-33.5906,26.891,296.03,77,88,4.47,Clouds
10,Bathsheba,BB,13.2167,-59.5167,302.49,61,20,9.26,Clouds
11,Hermanus,ZA,-34.4187,19.2345,303.04,43,92,7.8,Clouds
12,Kibala,TD,9.1104,18.3463,308.12,20,0,2.57,Clear
13,Provideniya,RU,64.3833,-173.3,265.13,90,100,5.28,Clouds
14,Saint-Philippe,RE,-21.3585,55.7679,299.92,76,89,4.2,Clouds
15,Kodiak,US,57.79,-152.4072,269.88,93,100,3.6,Snow
16,Lishui,CN,28.4604,119.9103,293.04,99,100,0.98,Clouds
17,Yuli,NG,9.6989,10.2744,308.04,12,48,2.09,Clouds
18,Mount Isa,AU,-20.7333,139.5,297.02,78,100,3.09,Rain
19,Punta Arenas,CL,-53.15,-70.9167,285.21,71,75,2.57,Clouds
20,Castro,BR,-24.7911,-50.0119,290.05,88,100,4.66,Clouds
21,Kokopo,PG,-4.352,152.2633,299.13,78,52,2.65,Rain
22,Teya,RU,60.3778,92.6267,251.14,99,99,1.63,Clouds
23,Lagoa,PT,39.05,-27.9833,292.18,84,100,14.46,Clouds
24,Pangnirtung,CA,66.1451,-65.7125,263.15,67,100,5.66,Snow
25,Mao,ES,39.8885,4.2658,284.46,93,40,4.63,Clouds
26,Kapaa,US,22.0752,-159.319,295.14,97,100,4.12,Rain
27,Vaini,TO,-21.2,-175.2,297.24,94,20,1.54,Clouds
28,Mataura,NZ,-46.1927,168.8643,283.21,80,99,0.19,Rain
29,Tanabe,JP,33.7333,135.3667,290.5,91,100,5.29,Clouds
30,Lucapa,AO,-8.4192,20.7447,296.71,76,63,1.47,Rain
31,Mugur-Aksy,RU,50.35,90.5,245.37,66,15,2.68,Clouds
32,Moose Factory,CA,51.2585,-80.6094,267.15,86,100,2.57,Clouds
33,Ajdabiya,LY,30.7554,20.2263,292.94,38,0,3.63,Clear
34,Thompson,CA,55.7435,-97.8558,265.24,93,100,5.14,Snow
35,Wenzhou,CN,27.9994,120.6668,292.86,95,100,0.98,Clouds
36,Husavik,IS,66.0449,-17.3389,271.89,78,44,6.18,Clouds
37,Rikitea,PF,-23.1203,-134.9692,296.01,82,4,4.05,Clear
38,Vao,NC,-22.6667,167.4833,298.16,83,100,8.0,Clouds
39,Vagamo,NO,61.8751,9.0967,274.11,98,100,3.31,Snow
40,Abha,SA,18.2164,42.5053,293.05,42,20,4.63,Clouds
41,Albany,US,42.6001,-73.9662,279.46,78,100,0.45,Clouds
42,Shahreza,IR,32.0339,51.8794,285.59,42,59,1.77,Clouds
43,Bredasdorp,ZA,-34.5322,20.0403,298.25,50,50,9.92,Clouds
44,Shelburne,CA,44.0787,-80.2041,273.02,87,100,5.32,Clouds
45,Klobuck,PL,50.9008,18.9367,277.51,87,29,3.58,Clouds
46,Coquimbo,CL,-29.9533,-71.3436,288.0,100,100,2.06,Drizzle
47,Carnarvon,AU,-24.8667,113.6333,296.39,71,0,8.17,Clear
48,Porto Novo,BJ,6.4965,2.6036,304.05,56,20,5.19,Clouds
49,Merrill,US,45.1805,-89.6835,269.84,93,40,0.0,Clouds
50,Ushuaia,AR,-54.8,-68.3,288.96,51,75,3.09,Clouds
51,Tasiilaq,GL,65.6145,-37.6368,262.43,54,13,1.86,Clouds
52,Yellowknife,CA,62.456,-114.3525,255.44,71,100,7.72,Snow
53,New Norfolk,AU,-42.7826,147.0587,282.87,64,99,2.24,Clouds
54,Broome,US,42.2506,-75.833,277.94,88,100,3.6,Mist
55,Saskylakh,RU,71.9167,114.0833,244.49,97,100,1.6,Clouds
56,Zdvinsk,RU,54.7021,78.661,247.89,94,59,1.75,Clouds
57,Kawalu,ID,-7.3817,108.2082,295.99,95,100,0.83,Clouds
58,Bluff,NZ,-46.6,168.3333,285.51,80,100,4.86,Clouds
59,Ponta Do Sol,PT,32.6667,-17.1,294.5,69,14,3.64,Clouds
60,Faanui,PF,-16.4833,-151.75,299.17,72,54,6.13,Clouds
61,Torbay,CA,47.6666,-52.7314,276.9,97,100,3.6,Clouds
62,Cidreira,BR,-30.1811,-50.2056,296.2,74,10,6.61,Clear
63,Harbour Breton,CA,47.4833,-55.7983,276.62,94,100,4.92,Rain
64,Acapulco,MX,16.8634,-99.8901,298.28,79,79,1.35,Clouds
65,Negotin,RS,44.2264,22.5308,279.0,77,100,4.29,Clouds
66,Port Moresby,PG,-9.4431,147.1797,299.83,94,40,1.54,Clouds
67,Longyearbyen,SJ,78.2186,15.6401,275.06,80,75,6.17,Rain
68,Alekseyevsk,RU,57.8406,108.3492,250.9,94,100,4.02,Clouds
69,Acarau,BR,-2.8856,-40.12,302.99,59,93,6.32,Clouds
70,Lata,PT,40.1629,-8.3327,288.6,64,100,3.44,Clouds
71,Huron,US,41.1501,-82.5499,277.46,88,100,3.31,Clouds
72,Paamiut,GL,61.994,-49.6678,273.06,79,100,4.49,Snow
73,Lebu,CL,-37.6167,-73.65,290.39,73,55,4.88,Clouds
74,Puerto Ayora,EC,-0.7393,-90.3518,294.01,87,90,0.45,Clouds
75,Viedma,AR,-40.8135,-62.9967,301.64,37,100,6.7,Clouds
76,Tiksi,RU,71.6872,128.8694,239.78,99,52,3.04,Clouds
77,Cape Town,ZA,-33.9258,18.4232,304.97,43,0,5.66,Clear
78,Bethel,US,41.3712,-73.414,284.52,68,100,0.45,Clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,297.64,93,75,8.49,Clouds
80,Mahebourg,MU,-20.4081,57.7,299.31,69,75,4.12,Clouds
81,Sobolevo,RU,54.4299,31.8996,272.98,97,100,4.1,Clouds
82,Kruisfontein,ZA,-34.0033,24.7314,298.64,55,4,11.99,Clear
