City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind
0,Mahebourg,MU,2022-11-23 16:03:10,-20.4081,57.7,77.25,75,2,10.49
1,Anloga,GH,2022-11-23 16:03:10,5.7947,0.8973,84.42,66,10,11.99
2,Punta Arenas,CL,2022-11-23 15:59:46,-53.15,-70.9167,50.11,50,75,27.63
3,Mataura,NZ,2022-11-23 16:01:08,-46.1927,168.8643,42.71,99,98,3.36
4,Hasaki,JP,2022-11-23 15:59:44,35.7333,140.8333,55.22,87,100,23.76
5,Kodiak,US,2022-11-23 16:03:12,57.79,-152.4072,26.11,63,75,11.5
6,Ambilobe,MG,2022-11-23 16:03:12,-13.2,49.05,79.27,68,58,4.74
7,Arraial Do Cabo,BR,2022-11-23 16:03:13,-22.9661,-42.0278,75.25,85,100,22.97
8,Nelson Bay,AU,2022-11-23 16:03:13,-32.7167,152.15,63.0,89,0,3.0
9,Bethel,US,2022-11-23 16:02:28,41.3712,-73.414,52.02,45,10,3.0
10,Busselton,AU,2022-11-23 15:59:31,-33.65,115.3333,60.82,83,99,7.18
11,Kruisfontein,ZA,2022-11-23 16:03:14,-34.0033,24.7314,69.89,73,8,18.03
12,Bluff,NZ,2022-11-23 16:00:56,-46.6,168.3333,46.99,86,100,12.91
13,Zhigansk,RU,2022-11-23 16:03:15,66.7697,123.3711,-33.5,99,100,4.68
14,Tuktoyaktuk,CA,2022-11-23 15:56:22,69.4541,-133.0374,8.6,85,100,9.22
15,Cosala,MX,2022-11-23 16:03:15,24.4125,-106.6908,77.79,47,2,0.87
16,Arman,RU,2022-11-23 16:03:16,59.7,150.1667,1.53,79,93,9.13
17,Hermanus,ZA,2022-11-23 16:03:16,-34.4187,19.2345,70.81,73,9,27.34
18,Bengkulu,ID,2022-11-23 16:03:17,-3.8004,102.2655,76.05,87,100,8.08
19,Rikitea,PF,2022-11-23 15:59:36,-23.1203,-134.9692,73.47,82,99,11.12
20,Pangody,RU,2022-11-23 16:03:17,65.85,74.4859,-12.1,100,89,5.1
21,Butaritari,KI,2022-11-23 15:56:35,3.0707,172.7902,80.89,73,100,6.33
22,Hobart,AU,2022-11-23 16:00:24,-42.8794,147.3294,57.25,70,100,12.66
23,Sao Filipe,CV,2022-11-23 16:03:18,14.8961,-24.4956,80.6,55,96,13.73
24,Padang,ID,2022-11-23 16:03:19,-0.9492,100.3543,75.25,87,100,2.66
25,Iqaluit,CA,2022-11-23 16:03:19,63.7506,-68.5145,-2.31,84,19,11.01
26,Albany,US,2022-11-23 15:54:34,42.6001,-73.9662,44.94,63,26,1.99
27,Kapaa,US,2022-11-23 16:00:54,22.0752,-159.319,69.78,88,4,1.01
28,Cape Town,ZA,2022-11-23 16:03:20,-33.9258,18.4232,70.38,80,56,11.99
29,Hilo,US,2022-11-23 15:59:32,19.7297,-155.09,69.24,73,19,2.86
30,Sao Jose Da Coroa Grande,BR,2022-11-23 16:03:21,-8.8978,-35.1478,83.17,62,42,9.1
31,Waingapu,ID,2022-11-23 16:03:21,-9.6567,120.2641,80.53,77,39,5.32
32,Atuona,PF,2022-11-23 16:03:22,-9.8,-139.0333,78.28,72,11,16.31
33,Ushuaia,AR,2022-11-23 16:00:53,-54.8,-68.3,46.89,72,81,7.07
34,Tasiilaq,GL,2022-11-23 16:00:51,65.6145,-37.6368,33.96,70,100,7.36
35,Cholet,FR,2022-11-23 16:03:23,47.1667,-1.0,54.64,76,0,17.49
36,Chavannes,CH,2022-11-23 16:03:23,46.53,6.5707,47.26,90,100,10.2
